LAST SEEN   TYPE      REASON              OBJECT                               MESSAGE
75s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-676c76dffc to 1
72s         Normal    Scheduled           pod/user-service-676c76dffc-vdcng    Successfully assigned stock-trading/user-service-676c76dffc-vdcng to devsecops-control-plane
72s         Normal    SuccessfulCreate    replicaset/user-service-676c76dffc   Created pod: user-service-676c76dffc-vdcng
70s         Normal    Pulling             pod/user-service-676c76dffc-vdcng    Pulling image "ttl.sh/stock-trading-matrix-signed-6ad79074707d@sha256:d720573cef839b9c12ee46e845f24241726b744ee584c67a002ece9866c81ba4"
69s         Normal    Pulled              pod/user-service-676c76dffc-vdcng    Successfully pulled image "ttl.sh/stock-trading-matrix-signed-6ad79074707d@sha256:d720573cef839b9c12ee46e845f24241726b744ee584c67a002ece9866c81ba4" in 1.039s (1.039s including waiting)
69s         Normal    Created             pod/user-service-676c76dffc-vdcng    Created container user-service
69s         Normal    Started             pod/user-service-676c76dffc-vdcng    Started container user-service
53s         Normal    Killing             pod/user-service-676c76dffc-vdcng    Stopping container user-service
39s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
39s         Normal    ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-f6d9cf869 to 1
38s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
38s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
37s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
18s         Warning   FailedCreate        replicaset/user-service-f6d9cf869    (combined from similar events): Error creating: admission webhook "validate.kyverno.svc-fail" denied the request: ...
